date, pm25, pm10, o3, no2, so2, co
2023/7/19, 31, 19, 20, 11, 3, 3
2023/7/20, 41, 25, 42, 10, 3, 4
2023/7/21, 65, 20, 34, 7, 3, 3
2023/7/22, 54, 20, 42, 7, 3, 3
2023/7/23, 50, 28, 38, 8, 3, 3
2023/7/24, 59, 13, 33, 5, 3, 2
2023/7/25, 23, 18, 21, 3, 3, 2
2023/7/26, 15, 16, 12, 3, 3, 2
2023/7/27, 11, 17, 11, 3, 3, 2
2023/7/28, 17, 18, 9, 3, 3, 2
2023/7/29, 21, 16, 20, 4, 3, 2
2023/7/30, 24, 21, 18, 4, 3, 2
2023/7/31, 38, 17, 19, 3, 3, 2
2023/8/1, 31, 22, 20, 3, 3, 2
2023/8/2, 38, 28, 16, 2, 3, 2
2023/8/3, 40, 23, 15, 4, 3, 2
2023/8/4, 41, 22, 17, 4, 3, 2
2023/8/5, 47, 25, 28, 7, 2, 3
2023/8/6, 56, 26, 27, 7, 1, 3
2023/8/7, 49, 27, 38, 5, 1, 4
2023/8/8, 56, 28, 38, 5, 1, 4
2023/8/9, 55, 39, 78, 7, 1, 5
2023/8/10, 74, 53, 113, 8, 1, 5
2023/8/11, 98, 39, 92, 5, 1, 4
2023/8/12, 88, 24, 48, 5, 1, 3
2023/8/13, 50, 22, 31, 4, 1, 3
2023/8/14, 40, 23, 24, 5, 1, 3
2023/8/15, 44, 32, 38, 6, 1, 3
2023/8/16, 56, 29, 40, 11, 1, 5
2023/8/17, 63, 22, 41, 13, 1, 4
2023/8/18, 57, 28, 37, 6, 1, 3
2023/8/19, 58, 23, 31, 4, 1, 3
2023/8/20, 46, 25, 76, 5, 3, 3
2023/8/21, 50, 35, 75, 8, 2, 5
2023/8/22, 73, 26, 45, 7, 3, 6
2023/8/23, 70, 28, 71, 11, 3, 4
2023/8/24, 60, 28, 63, 6, 3, 4
2023/8/25, 54, 27, 51, 6, , 4
2023/8/26, 49, 17, 25, 5, 2, 3
2023/8/27, 30, 16, 30, 5, 2, 3
2023/8/28, 23, 21, 23, 11, 2, 5
2023/8/29, 37, 9, 34, 9, 2, 4
2023/8/30, 27, 24, 36, 10, 3, 5
2023/8/31, 64, 15, 41, 6, 2, 3
2023/9/1, 40, 30, 57, 4, 3, 4
2023/9/2, 52, 28, 47, 7, 2, 4
2023/9/3, 53, 18, 15, 8, 3, 3
2023/9/4, 37, 22, 23, 7, 3, 3
2023/9/5, 51, 22, 25, 6, 3, 3
2023/9/6, 49, 33, 40, 6, 3, 4
2023/9/7, 67, 23, 44, 6, , 4
2023/9/8, 56, 24, 50, 9, 3, 3
2023/9/9, 49, 26, 53, 7, 3, 3
2023/9/10, 45, 30, 55, 7, 2, 3
2023/9/11, 50, 23, 37, 6, 2, 3
2023/9/12, 46, 23, 30, 7, 2, 3
2023/9/13, 41, 18, 25, 10, 2, 3
2023/9/14, 36, 20, 19, 18, 2, 4
2023/9/15, 51, 26, 19, 19, 2, 6
2023/9/16, 67, 46, 83, 15, 3, 8
2023/9/17, 105, 35, 70, 7, 3, 5
2023/9/18, 97, 21, 52, 8, 3, 3
2023/9/19, 59, 22, 36, 8, 3, 4
2023/9/20, 38, 20, 32, 12, 3, 4
2023/9/21, 42, 17, 23, 14, 3, 4
2023/9/22, 38, 12, 29, 13, 3, 4
2023/9/23, 31, 15, 28, 11, 9, 4
2023/9/24, 34, 40, 37, 17, 3, 7
2023/9/25, 65, 43, 42, 12, 3, 8
2023/9/26, 96, 41, 53, 10, 3, 7
2023/9/27, 98, 37, 38, 10, 3, 8
2023/9/28, 92, 38, 56, 7, 3, 8
2023/9/29, 94, 29, 36, 8, 3, 9
2023/9/30, 84, 20, 42, 7, 3, 6
2023/4/1, 93, 51, 63, 19, 3, 6
2023/4/2, 94, 49, 51, 8, 3, 3
2023/4/3, 70, 27, 40, 6, 2, 3
2023/4/4, 53, 41, 32, 9, 2, 6
2023/4/5, 95, 49, 30, 13, 3, 6
2023/4/6, 126, 67, 45, 14, 3, 6
2023/4/7, 142, 57, 48, 15, 3, 4
2023/4/8, 92, 48, 79, 15, 3, 3
2023/4/9, 70, 46, 73, 11, 3, 3
2023/4/10, 68, 131, 43, 15, 4, 4
2023/4/11, 95, 196, 38, 9, 3, 3
2023/4/12, 131, 132, 36, 14, 3, 3
2023/4/13, 113, 75, 31, 22, 4, 6
2023/4/14, 113, 56, 42, 12, 3, 5
2023/4/15, 94, 63, 66, 7, 4, 5
2023/4/16, 95, 60, 67, 5, 3, 4
2023/4/17, 82, 62, 65, 11, 4, 5
2023/4/18, 93, 37, 35, 7, 3, 3
2023/4/19, 64, 37, 38, 6, 2, 3
2023/4/20, 56, 47, 42, 4, 3, 3
2023/4/21, 60, 82, 43, 5, 3, 3
2023/4/22, 71, 83, 42, 4, 3, 3
